"Drug Name","Manufacturer","Dosage Form","Strength","Package Size","Units Sold","Revenue","Sale Date","Region","Sales Representative","Customer Type","Month","Quarter","Revenue Category","Target Multiplier","Target Revenue","Achievement Percentage","Performance Status"
"Drug C","Company Y","Capsule","50 mg","100 ml","1633","33931","2024-05-18 00:00:00","Europe","Tyler Brown","Pharmacy","May","Q2","Medium","1.1","37324.1","0.9091","Below Target"
"Drug A","Company Z","Cream","50 mg","30","128","35258","2023-11-08 00:00:00","North America","Sheila Coleman","Online Pharmacy","Nov","Q4","Medium","1.2","42309.6","0.8333","Below Target"
"Drug C","Company V","Injection","500 mg","10 ml","504","36459","2023-08-19 00:00:00","Europe","Douglas Rodriguez","Pharmacy","Aug","Q3","Medium","1.1","40104.9","0.9091","Below Target"
"Drug E","Company V","Cream","500 mg","100 ml","216","32152","2024-07-08 00:00:00","Europe","Brandi King","Pharmacy","Jul","Q3","Medium","1.1","35367.2","0.9091","Below Target"
"Drug E","Company V","Injection","10 mg","10 ml","1986","13538","2023-12-03 00:00:00","Europe","Susan Brewer","Pharmacy","Dec","Q4","Low","1.1","14891.8","0.9091","Below Target"
"Drug A","Company W","Cream","50 mg","30","1977","9566","2024-07-13 00:00:00","Africa","Latoya Wright","Online Pharmacy","Jul","Q3","Low","0.9","8609.4","1.1111","Achieved"
"Drug A","Company V","Tablet","100 mg/ml","50 g","1320","29932","2023-08-22 00:00:00","North America","Richard Edwards","Clinics","Aug","Q3","Medium","1.2","35918.4","0.8333","Below Target"
"Drug E","Company W","Cream","10 mg","30","1766","45608","2024-02-27 00:00:00","South America","Mr. Michael Taylor","Pharmacy","Feb","Q1","High","1.1","50168.8","0.9091","Below Target"
"Drug B","Company X","Syrup","100 mg/ml","60","1078","42394","2024-01-12 00:00:00","South America","Angela Castro","Online Pharmacy","Jan","Q1","High","1.1","46633.4","0.9091","Below Target"
"Drug C","Company X","Injection","500 mg","60","783","48016","2024-01-24 00:00:00","Asia","Christie Brown","Clinics","Jan","Q1","High","0.95","45615.2","1.0526","Achieved"
"Drug E","Company X","Capsule","100 mg/ml","60","1161","11048","2024-01-08 00:00:00","Europe","Annette Fisher","Clinics","Jan","Q1","Low","1.1","12152.8","0.9091","Below Target"
"Drug A","Company X","Capsule","50 mg","50 g","1820","16952","2024-03-15 00:00:00","Africa","Katelyn Smith","Hospitals","Mar","Q1","Low","0.9","15256.8","1.1111","Achieved"
"Drug D","Company V","Tablet","50 mg","60","147","28543","2024-05-25 00:00:00","Africa","Crystal Lawrence","Hospitals","May","Q2","Medium","0.9","25688.7","1.1111","Achieved"
"Drug B","Company Z","Capsule","250 mg","60","990","5766","2023-09-03 00:00:00","North America","Katherine Sexton","Online Pharmacy","Sep","Q3","Low","1.2","6919.2","0.8333","Below Target"
"Drug B","Company Z","Injection","500 mg","60","223","23153","2024-03-20 00:00:00","Asia","Felicia Jones","Online Pharmacy","Mar","Q1","Medium","0.95","21995.35","1.0526","Achieved"
"Drug D","Company Z","Syrup","250 mg","50 g","855","22920","2024-01-22 00:00:00","South America","Lisa Johnson","Supermarkets","Jan","Q1","Medium","1.1","25212.0","0.9091","Below Target"
"Drug C","Company X","Cream","50 mg","100 ml","968","6595","2023-12-04 00:00:00","Africa","Amber Hill","Hospitals","Dec","Q4","Low","0.9","5935.5","1.1111","Achieved"
"Drug B","Company W","Cream","10 mg","10 ml","1378","37523","2023-12-11 00:00:00","South America","Rebecca Lawrence","Online Pharmacy","Dec","Q4","Medium","1.1","41275.3","0.9091","Below Target"
"Drug B","Company Z","Tablet","500 mg","100 ml","1473","23815","2024-07-22 00:00:00","South America","John Smith","Supermarkets","Jul","Q3","Medium","1.1","26196.5","0.9091","Below Target"
"Drug C","Company X","Capsule","250 mg","100 ml","791","40754","2024-05-05 00:00:00","Africa","Scott Jones","Hospitals","May","Q2","High","0.9","36678.6","1.1111","Achieved"
"Drug C","Company V","Tablet","10 mg","50 g","1523","35645","2023-10-12 00:00:00","South America","Cynthia Cook","Clinics","Oct","Q4","Medium","1.1","39209.5","0.9091","Below Target"
"Drug E","Company W","Cream","250 mg","50 g","1214","1820","2024-03-08 00:00:00","South America","Randy Dunn","Online Pharmacy","Mar","Q1","Low","1.1","2002.0","0.9091","Below Target"
"Drug C","Company V","Injection","250 mg","60","440","13578","2024-06-27 00:00:00","Asia","Michael Cisneros","Hospitals","Jun","Q2","Low","0.95","12899.1","1.0526","Achieved"
"Drug D","Company Y","Syrup","10 mg","60","1574","47682","2024-04-14 00:00:00","Africa","Crystal Keller","Supermarkets","Apr","Q2","High","0.9","42913.8","1.1111","Achieved"
"Drug A","Company W","Cream","250 mg","50 g","1880","41604","2024-01-04 00:00:00","North America","Christina Lopez","Pharmacy","Jan","Q1","High","1.2","49924.8","0.8333","Below Target"
"Drug E","Company Z","Tablet","100 mg/ml","10 ml","383","21024","2024-01-07 00:00:00","South America","Christopher Taylor","Hospitals","Jan","Q1","Medium","1.1","23126.4","0.9091","Below Target"
"Drug E","Company Y","Injection","10 mg","10 ml","253","18363","2024-06-16 00:00:00","South America","Lisa Alvarado","Online Pharmacy","Jun","Q2","Low","1.1","20199.3","0.9091","Below Target"
"Drug C","Company Y","Syrup","100 mg/ml","30","1818","2347","2024-01-29 00:00:00","Africa","Kerry Oneill","Online Pharmacy","Jan","Q1","Low","0.9","2112.3","1.1111","Achieved"
"Drug E","Company Z","Tablet","250 mg","50 g","1351","41781","2023-10-02 00:00:00","Asia","Stephanie Collins","Clinics","Oct","Q4","High","0.95","39691.95","1.0526","Achieved"
"Drug B","Company Y","Syrup","50 mg","10 ml","1904","34028","2023-09-06 00:00:00","Africa","Brian Williams","Hospitals","Sep","Q3","Medium","0.9","30625.2","1.1111","Achieved"
"Drug B","Company W","Injection","100 mg/ml","10 ml","1954","6369","2023-09-12 00:00:00","Africa","Laura Vance","Supermarkets","Sep","Q3","Low","0.9","5732.1","1.1111","Achieved"
"Drug A","Company V","Capsule","100 mg/ml","60","1042","18788","2023-10-30 00:00:00","Europe","Sierra Edwards","Clinics","Oct","Q4","Low","1.1","20666.8","0.9091","Below Target"
"Drug D","Company V","Cream","250 mg","10 ml","1564","22868","2023-09-21 00:00:00","South America","Lisa Hunter","Supermarkets","Sep","Q3","Medium","1.1","25154.8","0.9091","Below Target"
"Drug C","Company Y","Syrup","100 mg/ml","100 ml","1741","16211","2024-04-08 00:00:00","Africa","Jeffrey Lane","Clinics","Apr","Q2","Low","0.9","14589.9","1.1111","Achieved"
"Drug C","Company V","Syrup","250 mg","50 g","565","32496","2023-11-07 00:00:00","South America","Terri Floyd","Supermarkets","Nov","Q4","Medium","1.1","35745.6","0.9091","Below Target"
"Drug C","Company V","Capsule","500 mg","50 g","293","40588","2024-05-21 00:00:00","North America","Patrick Valenzuela","Supermarkets","May","Q2","High","1.2","48705.6","0.8333","Below Target"
"Drug E","Company Y","Capsule","500 mg","10 ml","1032","23173","2024-02-04 00:00:00","Africa","Todd Roberts","Supermarkets","Feb","Q1","Medium","0.9","20855.7","1.1111","Achieved"
"Drug A","Company Z","Capsule","250 mg","10 ml","1315","3801","2023-12-27 00:00:00","South America","Jessica Donovan","Clinics","Dec","Q4","Low","1.1","4181.1","0.9091","Below Target"
"Drug B","Company X","Syrup","100 mg/ml","60","1499","18175","2023-08-21 00:00:00","Europe","Sean Smith","Pharmacy","Aug","Q3","Low","1.1","19992.5","0.9091","Below Target"
"Drug B","Company Z","Capsule","250 mg","50 g","1427","1053","2024-07-25 00:00:00","Europe","Laura Brown","Clinics","Jul","Q3","Low","1.1","1158.3","0.9091","Below Target"
"Drug A","Company V","Syrup","500 mg","60","1044","29042","2023-11-12 00:00:00","North America","Dr. Michael Ortiz","Hospitals","Nov","Q4","Medium","1.2","34850.4","0.8333","Below Target"
"Drug B","Company W","Cream","10 mg","60","257","28677","2023-12-08 00:00:00","Africa","Paul Valdez","Online Pharmacy","Dec","Q4","Medium","0.9","25809.3","1.1111","Achieved"
"Drug A","Company V","Capsule","50 mg","30","1768","40547","2023-12-03 00:00:00","Africa","Cassandra Diaz","Hospitals","Dec","Q4","High","0.9","36492.3","1.1111","Achieved"
"Drug B","Company X","Syrup","250 mg","50 g","654","16542","2023-11-13 00:00:00","Asia","Matthew Richards","Hospitals","Nov","Q4","Low","0.95","15714.9","1.0526","Achieved"
"Drug C","Company Z","Tablet","100 mg/ml","60","1137","33706","2024-07-17 00:00:00","North America","Travis Gonzalez","Hospitals","Jul","Q3","Medium","1.2","40447.2","0.8333","Below Target"
"Drug E","Company X","Capsule","10 mg","30","739","38821","2023-12-08 00:00:00","South America","Sandra Murray","Pharmacy","Dec","Q4","Medium","1.1","42703.1","0.9091","Below Target"
"Drug A","Company X","Capsule","10 mg","100 ml","1610","5779","2023-09-29 00:00:00","North America","Tammy Harper","Pharmacy","Sep","Q3","Low","1.2","6934.8","0.8333","Below Target"
"Drug D","Company V","Syrup","500 mg","60","1703","7678","2024-02-02 00:00:00","Africa","Dwayne Johnson","Hospitals","Feb","Q1","Low","0.9","6910.2","1.1111","Achieved"
"Drug B","Company Y","Cream","250 mg","60","1639","15878","2023-09-15 00:00:00","Europe","Mary Dorsey","Pharmacy","Sep","Q3","Low","1.1","17465.8","0.9091","Below Target"
"Drug B","Company W","Capsule","10 mg","100 ml","1219","48415","2024-03-28 00:00:00","South America","Brian Beasley","Supermarkets","Mar","Q1","High","1.1","53256.5","0.9091","Below Target"
"Drug A","Company X","Syrup","50 mg","100 ml","871","41051","2024-01-01 00:00:00","Asia","Russell Wong","Hospitals","Jan","Q1","High","0.95","38998.45","1.0526","Achieved"
"Drug C","Company W","Cream","250 mg","50 g","995","17900","2024-02-08 00:00:00","South America","Jason Levy","Online Pharmacy","Feb","Q1","Low","1.1","19690.0","0.9091","Below Target"
"Drug B","Company X","Injection","250 mg","30","1446","37654","2023-11-30 00:00:00","Africa","Lindsey Shepherd","Hospitals","Nov","Q4","Medium","0.9","33888.6","1.1111","Achieved"
"Drug B","Company X","Tablet","10 mg","60","1269","22319","2023-11-20 00:00:00","North America","Matthew Nolan","Online Pharmacy","Nov","Q4","Medium","1.2","26782.8","0.8333","Below Target"
"Drug A","Company W","Syrup","50 mg","10 ml","1232","19247","2024-03-26 00:00:00","Europe","Stephen Schroeder","Hospitals","Mar","Q1","Low","1.1","21171.7","0.9091","Below Target"
"Drug A","Company X","Tablet","50 mg","30","814","25411","2023-12-23 00:00:00","South America","Jennifer Taylor","Online Pharmacy","Dec","Q4","Medium","1.1","27952.1","0.9091","Below Target"
"Drug B","Company V","Syrup","10 mg","100 ml","157","3809","2024-04-23 00:00:00","South America","John Ewing","Supermarkets","Apr","Q2","Low","1.1","4189.9","0.9091","Below Target"
"Drug A","Company Y","Syrup","10 mg","30","272","39524","2024-07-09 00:00:00","South America","Kimberly Blackburn","Pharmacy","Jul","Q3","Medium","1.1","43476.4","0.9091","Below Target"
"Drug B","Company W","Cream","500 mg","50 g","1222","19740","2023-11-18 00:00:00","South America","Michael Jones","Pharmacy","Nov","Q4","Low","1.1","21714.0","0.9091","Below Target"
"Drug D","Company X","Capsule","250 mg","10 ml","151","18797","2024-02-10 00:00:00","Europe","Jacob Salinas","Hospitals","Feb","Q1","Low","1.1","20676.7","0.9091","Below Target"
"Drug D","Company V","Capsule","500 mg","10 ml","798","23785","2024-07-03 00:00:00","South America","Brianna Alexander","Online Pharmacy","Jul","Q3","Medium","1.1","26163.5","0.9091","Below Target"
"Drug A","Company W","Injection","50 mg","10 ml","310","31204","2023-08-19 00:00:00","South America","Patricia Gonzales","Online Pharmacy","Aug","Q3","Medium","1.1","34324.4","0.9091","Below Target"
"Drug B","Company X","Tablet","50 mg","10 ml","1280","45096","2024-06-19 00:00:00","Europe","Caitlyn Juarez","Online Pharmacy","Jun","Q2","High","1.1","49605.6","0.9091","Below Target"
"Drug C","Company V","Syrup","100 mg/ml","50 g","1776","30640","2024-06-14 00:00:00","Europe","Willie Horn","Pharmacy","Jun","Q2","Medium","1.1","33704.0","0.9091","Below Target"
"Drug E","Company Y","Cream","500 mg","30","784","25665","2024-05-05 00:00:00","South America","Tracy Bond","Hospitals","May","Q2","Medium","1.1","28231.5","0.9091","Below Target"
"Drug A","Company Y","Injection","250 mg","60","1936","40605","2023-11-29 00:00:00","Africa","Mark Martin","Online Pharmacy","Nov","Q4","High","0.9","36544.5","1.1111","Achieved"
"Drug D","Company V","Cream","10 mg","50 g","1675","29315","2023-11-07 00:00:00","Africa","William Wolf MD","Pharmacy","Nov","Q4","Medium","0.9","26383.5","1.1111","Achieved"
"Drug E","Company X","Capsule","500 mg","100 ml","906","10256","2023-08-21 00:00:00","South America","Kelsey Phillips","Online Pharmacy","Aug","Q3","Low","1.1","11281.6","0.9091","Below Target"
"Drug C","Company X","Cream","10 mg","60","873","44797","2023-09-23 00:00:00","North America","Corey Weaver","Hospitals","Sep","Q3","High","1.2","53756.4","0.8333","Below Target"
"Drug C","Company V","Cream","250 mg","30","1227","37132","2024-05-09 00:00:00","South America","Brendan Garza","Pharmacy","May","Q2","Medium","1.1","40845.2","0.9091","Below Target"
"Drug C","Company Y","Capsule","500 mg","30","1921","8234","2023-07-29 00:00:00","South America","Jeanette Vasquez","Pharmacy","Jul","Q3","Low","1.1","9057.4","0.9091","Below Target"
"Drug A","Company Z","Syrup","500 mg","10 ml","1907","11906","2024-04-05 00:00:00","Asia","Jeffrey Rivera","Online Pharmacy","Apr","Q2","Low","0.95","11310.7","1.0526","Achieved"
"Drug D","Company Y","Cream","10 mg","60","1766","36835","2024-03-17 00:00:00","Africa","Brandy Henderson","Pharmacy","Mar","Q1","Medium","0.9","33151.5","1.1111","Achieved"
"Drug A","Company X","Syrup","250 mg","60","793","45468","2023-11-26 00:00:00","Africa","Robert Jones","Hospitals","Nov","Q4","High","0.9","40921.2","1.1111","Achieved"
"Drug A","Company W","Cream","50 mg","100 ml","1738","22945","2024-02-21 00:00:00","South America","Jason Caldwell","Supermarkets","Feb","Q1","Medium","1.1","25239.5","0.9091","Below Target"
"Drug C","Company Z","Tablet","250 mg","100 ml","1088","46398","2024-07-08 00:00:00","South America","Cynthia Thomas","Online Pharmacy","Jul","Q3","High","1.1","51037.8","0.9091","Below Target"
"Drug C","Company W","Injection","250 mg","100 ml","643","1303","2024-06-09 00:00:00","Africa","Alicia Lambert","Hospitals","Jun","Q2","Low","0.9","1172.7","1.1111","Achieved"
"Drug D","Company X","Syrup","250 mg","10 ml","1498","33259","2024-07-27 00:00:00","South America","Michelle Abbott","Hospitals","Jul","Q3","Medium","1.1","36584.9","0.9091","Below Target"
"Drug E","Company V","Injection","250 mg","30","1558","8553","2023-12-15 00:00:00","Asia","Robin Roth","Hospitals","Dec","Q4","Low","0.95","8125.35","1.0526","Achieved"
"Drug D","Company Y","Capsule","50 mg","30","1423","28304","2023-12-27 00:00:00","Asia","Emily Mills","Online Pharmacy","Dec","Q4","Medium","0.95","26888.8","1.0526","Achieved"
"Drug D","Company V","Capsule","100 mg/ml","10 ml","1777","33795","2024-02-11 00:00:00","South America","Michael Roberson","Pharmacy","Feb","Q1","Medium","1.1","37174.5","0.9091","Below Target"
"Drug E","Company V","Tablet","250 mg","100 ml","1908","34115","2023-11-03 00:00:00","Asia","Heather Adams","Clinics","Nov","Q4","Medium","0.95","32409.25","1.0526","Achieved"
"Drug C","Company X","Capsule","10 mg","100 ml","1291","30051","2024-01-07 00:00:00","Europe","Anna Ford","Pharmacy","Jan","Q1","Medium","1.1","33056.1","0.9091","Below Target"
"Drug A","Company V","Tablet","50 mg","10 ml","1702","29950","2023-08-13 00:00:00","South America","Brian Greer","Pharmacy","Aug","Q3","Medium","1.1","32945.0","0.9091","Below Target"
"Drug E","Company Z","Injection","500 mg","60","1367","30714","2024-04-13 00:00:00","Africa","Joshua Gomez","Pharmacy","Apr","Q2","Medium","0.9","27642.6","1.1111","Achieved"
"Drug D","Company V","Tablet","100 mg/ml","30","1583","45689","2023-08-27 00:00:00","Asia","Michael Orr","Supermarkets","Aug","Q3","High","0.95","43404.55","1.0526","Achieved"
"Drug E","Company V","Capsule","500 mg","100 ml","848","35016","2024-03-15 00:00:00","South America","Elizabeth Powell","Supermarkets","Mar","Q1","Medium","1.1","38517.6","0.9091","Below Target"
"Drug B","Company Y","Syrup","10 mg","100 ml","1886","11515","2024-06-10 00:00:00","North America","Steven Decker","Supermarkets","Jun","Q2","Low","1.2","13818.0","0.8333","Below Target"
"Drug D","Company V","Tablet","250 mg","50 g","1391","49897","2023-09-17 00:00:00","South America","Lisa Friedman","Supermarkets","Sep","Q3","High","1.1","54886.7","0.9091","Below Target"
"Drug C","Company Z","Injection","250 mg","60","536","12572","2023-10-07 00:00:00","Africa","Jeremy Brandt","Online Pharmacy","Oct","Q4","Low","0.9","11314.8","1.1111","Achieved"
"Drug B","Company Z","Injection","500 mg","60","1999","40809","2024-03-16 00:00:00","South America","Cheryl Campbell","Pharmacy","Mar","Q1","High","1.1","44889.9","0.9091","Below Target"
"Drug D","Company Z","Tablet","250 mg","10 ml","1192","39757","2024-07-20 00:00:00","Africa","Emily Turner","Clinics","Jul","Q3","Medium","0.9","35781.3","1.1111","Achieved"
"Drug D","Company W","Cream","250 mg","50 g","846","2237","2023-10-06 00:00:00","North America","Cheryl Morris","Pharmacy","Oct","Q4","Low","1.2","2684.4","0.8333","Below Target"
"Drug A","Company X","Injection","500 mg","10 ml","731","35093","2023-10-23 00:00:00","Africa","Richard Mendoza","Pharmacy","Oct","Q4","Medium","0.9","31583.7","1.1111","Achieved"
"Drug A","Company W","Tablet","100 mg/ml","30","1943","44592","2024-05-19 00:00:00","Asia","Isabel Whitaker","Pharmacy","May","Q2","High","0.95","42362.4","1.0526","Achieved"
"Drug A","Company Y","Capsule","100 mg/ml","60","1017","29700","2023-10-18 00:00:00","Asia","Darryl Nicholson","Hospitals","Oct","Q4","Medium","0.95","28215.0","1.0526","Achieved"
"Drug A","Company X","Cream","500 mg","10 ml","929","37018","2024-07-23 00:00:00","North America","Patricia Mclean","Clinics","Jul","Q3","Medium","1.2","44421.6","0.8333","Below Target"
"Drug D","Company Z","Capsule","10 mg","60","811","44885","2023-11-20 00:00:00","South America","Raymond Scott","Online Pharmacy","Nov","Q4","High","1.1","49373.5","0.9091","Below Target"
"Drug E","Company Y","Syrup","500 mg","60","820","14086","2024-01-31 00:00:00","Africa","Cindy Diaz","Online Pharmacy","Jan","Q1","Low","0.9","12677.4","1.1111","Achieved"
"Drug A","Company X","Syrup","100 mg/ml","60","698","27380","2024-07-26 00:00:00","Africa","Timothy Bradley","Online Pharmacy","Jul","Q3","Medium","0.9","24642.0","1.1111","Achieved"
"Drug C","Company Y","Capsule","250 mg","10 ml","679","35477","2024-07-02 00:00:00","South America","Chad Lewis","Supermarkets","Jul","Q3","Medium","1.1","39024.7","0.9091","Below Target"
"Drug C","Company V","Capsule","10 mg","50 g","1225","47265","2023-12-24 00:00:00","South America","Ashley White","Pharmacy","Dec","Q4","High","1.1","51991.5","0.9091","Below Target"
"Drug B","Company W","Syrup","250 mg","60","1913","37244","2023-12-06 00:00:00","Africa","Emily Scott","Hospitals","Dec","Q4","Medium","0.9","33519.6","1.1111","Achieved"
"Drug B","Company W","Tablet","100 mg/ml","10 ml","1381","43046","2024-07-28 00:00:00","Europe","Kelly Berry","Online Pharmacy","Jul","Q3","High","1.1","47350.6","0.9091","Below Target"
"Drug A","Company W","Injection","100 mg/ml","50 g","939","37589","2023-12-02 00:00:00","Asia","Michael Miller","Supermarkets","Dec","Q4","Medium","0.95","35709.55","1.0526","Achieved"
"Drug B","Company Z","Injection","10 mg","10 ml","472","7516","2024-02-06 00:00:00","South America","Brian Coleman","Online Pharmacy","Feb","Q1","Low","1.1","8267.6","0.9091","Below Target"
"Drug C","Company Y","Syrup","100 mg/ml","100 ml","405","19413","2024-03-05 00:00:00","Asia","James Sexton","Online Pharmacy","Mar","Q1","Low","0.95","18442.35","1.0526","Achieved"
"Drug E","Company Z","Cream","50 mg","10 ml","383","9225","2023-10-21 00:00:00","North America","Mitchell Butler","Online Pharmacy","Oct","Q4","Low","1.2","11070.0","0.8333","Below Target"
"Drug C","Company Z","Syrup","100 mg/ml","10 ml","1863","35677","2024-03-11 00:00:00","South America","Jeremy Mcdaniel","Hospitals","Mar","Q1","Medium","1.1","39244.7","0.9091","Below Target"
"Drug E","Company V","Syrup","10 mg","100 ml","469","9657","2024-07-15 00:00:00","South America","Heidi Joseph","Clinics","Jul","Q3","Low","1.1","10622.7","0.9091","Below Target"
"Drug A","Company Y","Injection","50 mg","50 g","1296","14169","2024-02-22 00:00:00","Europe","Caitlyn Smith","Hospitals","Feb","Q1","Low","1.1","15585.9","0.9091","Below Target"
"Drug D","Company V","Tablet","250 mg","60","1350","24407","2024-05-13 00:00:00","South America","Robert Brown","Hospitals","May","Q2","Medium","1.1","26847.7","0.9091","Below Target"
"Drug B","Company V","Tablet","10 mg","50 g","930","3721","2024-02-11 00:00:00","Europe","Catherine Porter","Online Pharmacy","Feb","Q1","Low","1.1","4093.1","0.9091","Below Target"
"Drug C","Company V","Capsule","10 mg","10 ml","1185","43131","2024-03-03 00:00:00","Asia","Angela Pierce","Clinics","Mar","Q1","High","0.95","40974.45","1.0526","Achieved"
"Drug E","Company V","Capsule","50 mg","60","179","37526","2023-10-20 00:00:00","South America","Jason Taylor","Supermarkets","Oct","Q4","Medium","1.1","41278.6","0.9091","Below Target"
"Drug B","Company Y","Injection","10 mg","30","1859","27781","2024-01-09 00:00:00","South America","Stephen Rodriguez","Pharmacy","Jan","Q1","Medium","1.1","30559.1","0.9091","Below Target"
"Drug D","Company V","Capsule","50 mg","60","1089","6993","2023-09-16 00:00:00","Africa","Lisa Gross","Online Pharmacy","Sep","Q3","Low","0.9","6293.7","1.1111","Achieved"
"Drug A","Company Y","Tablet","10 mg","10 ml","1428","38657","2023-10-09 00:00:00","Africa","Wyatt Norris","Online Pharmacy","Oct","Q4","Medium","0.9","34791.3","1.1111","Achieved"
"Drug A","Company X","Syrup","500 mg","10 ml","431","42644","2024-02-11 00:00:00","Africa","Victoria Maldonado","Supermarkets","Feb","Q1","High","0.9","38379.6","1.1111","Achieved"
"Drug B","Company Z","Capsule","50 mg","50 g","1670","44138","2024-03-10 00:00:00","Africa","Stacey Jordan","Hospitals","Mar","Q1","High","0.9","39724.2","1.1111","Achieved"
"Drug D","Company Y","Tablet","100 mg/ml","100 ml","206","5211","2024-05-05 00:00:00","North America","Isabella Alvarado","Hospitals","May","Q2","Low","1.2","6253.2","0.8333","Below Target"
"Drug A","Company X","Cream","100 mg/ml","100 ml","1499","42504","2023-11-02 00:00:00","South America","Anna Griffin","Pharmacy","Nov","Q4","High","1.1","46754.4","0.9091","Below Target"
"Drug B","Company X","Cream","500 mg","60","1503","24284","2024-06-14 00:00:00","North America","Jason Sanders","Online Pharmacy","Jun","Q2","Medium","1.2","29140.8","0.8333","Below Target"
"Drug A","Company Z","Syrup","250 mg","60","1473","49653","2023-09-23 00:00:00","North America","Kevin Sanford","Online Pharmacy","Sep","Q3","High","1.2","59583.6","0.8333","Below Target"
"Drug D","Company V","Capsule","100 mg/ml","10 ml","1294","14645","2024-06-15 00:00:00","South America","Corey Miller","Pharmacy","Jun","Q2","Low","1.1","16109.5","0.9091","Below Target"
"Drug E","Company Y","Syrup","500 mg","100 ml","1337","21269","2024-01-13 00:00:00","Europe","Ronald Caldwell","Clinics","Jan","Q1","Medium","1.1","23395.9","0.9091","Below Target"
"Drug B","Company X","Tablet","100 mg/ml","50 g","580","15529","2024-07-18 00:00:00","South America","Andre Castillo","Hospitals","Jul","Q3","Low","1.1","17081.9","0.9091","Below Target"
"Drug D","Company V","Tablet","500 mg","60","1872","30435","2023-08-12 00:00:00","Africa","Jessica Nelson","Pharmacy","Aug","Q3","Medium","0.9","27391.5","1.1111","Achieved"
"Drug A","Company W","Capsule","500 mg","10 ml","532","28042","2023-08-05 00:00:00","South America","Darin Smith","Clinics","Aug","Q3","Medium","1.1","30846.2","0.9091","Below Target"
"Drug A","Company Z","Tablet","100 mg/ml","100 ml","181","32650","2024-05-18 00:00:00","North America","Carmen Bailey","Supermarkets","May","Q2","Medium","1.2","39180.0","0.8333","Below Target"
"Drug B","Company V","Capsule","500 mg","10 ml","422","32388","2023-12-02 00:00:00","Europe","Kristopher Martinez","Online Pharmacy","Dec","Q4","Medium","1.1","35626.8","0.9091","Below Target"
"Drug D","Company V","Cream","500 mg","100 ml","892","9396","2023-12-14 00:00:00","South America","Joseph Brewer","Clinics","Dec","Q4","Low","1.1","10335.6","0.9091","Below Target"
"Drug A","Company X","Cream","250 mg","30","1964","11786","2024-05-21 00:00:00","Asia","Michael Guzman","Supermarkets","May","Q2","Low","0.95","11196.7","1.0526","Achieved"
"Drug C","Company Z","Tablet","250 mg","30","1698","19170","2023-07-29 00:00:00","Europe","Theresa Hansen","Pharmacy","Jul","Q3","Low","1.1","21087.0","0.9091","Below Target"
"Drug B","Company X","Cream","500 mg","60","1222","28574","2023-12-19 00:00:00","North America","Daniel Murillo","Clinics","Dec","Q4","Medium","1.2","34288.8","0.8333","Below Target"
"Drug B","Company V","Syrup","50 mg","10 ml","604","38185","2024-03-10 00:00:00","South America","Jake Cook","Supermarkets","Mar","Q1","Medium","1.1","42003.5","0.9091","Below Target"
"Drug E","Company Z","Cream","250 mg","50 g","1811","42397","2023-08-08 00:00:00","Asia","Gary Grant","Online Pharmacy","Aug","Q3","High","0.95","40277.15","1.0526","Achieved"
"Drug C","Company Y","Injection","250 mg","60","560","42407","2024-05-14 00:00:00","Europe","Don Brown","Pharmacy","May","Q2","High","1.1","46647.7","0.9091","Below Target"
